UttNo,Utterance (EN),Final (FR),Intent,Entity name,Entity value
88,Where can I get a glass of water?,Où puis-je me procurer un verre d'eau?,location-request,room,water cooler
99,How do we get to the dining room?,Comment se rendre à la salle à manger ?,directions-request,room,dining room
65,Do you have vegetarian food?,Est-ce que vous avez la nourriture végétarienne?,ask_dietary,,
35,Is it possible for my daughter to stay with me?,Est-ce que ma fille peut rester avec moi?,ask_accompaniment,,
68,I'm vegan is that ok?,"Je suis végétalien, j'espère que cela ne pose pas de problème.",ask_dietary,,
3,Can you tell me your name?,Pouvez-vous me dire votre nom?,ask_robot_name,,
47,If my wife's here all day does she get fed?,"Si ma femme est là toute la journée, aura-t-elle a manger ?",ask_meal_arrangements,,
98,What direction do we go in for the stairs?,Où devons-nous aller pour prendre les escaliers ?,directions-request,room,stairs
49,What is the patients' lunch?,Quel est le déjeuner des patients?,ask_meal_choices,meal,lunch
83,I've been waiting quite a while. When will my turn be?,J'attends depuis pas mal de temps. Quand sera mon tour ?,ask_wait_time,,
